source,lat,lon,year,month,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021,1,105.14,82.22225806451613,73.38612903225807,18.838064516129034,1.0696774193548386
NASA_POWER,4.65847,-74.08396,2021,2,98.38,82.23321428571428,74.44678571428572,19.620714285714286,1.0442857142857143
NASA_POWER,4.65847,-74.08396,2021,3,132.12,82.26129032258065,79.48903225806451,18.69483870967742,0.9319354838709678
NASA_POWER,4.65847,-74.08396,2021,4,176.72,82.27966666666666,79.31633333333333,19.200333333333333,0.9443333333333334
NASA_POWER,4.65847,-74.08396,2021,5,53.85,82.37903225806451,78.49290322580646,19.156774193548387,1.1796774193548387
NASA_POWER,4.65847,-74.08396,2021,6,196.89,82.42233333333334,79.12733333333334,18.355666666666664,1.1006666666666665
NASA_POWER,4.65847,-74.08396,2021,7,57.61,82.42806451612903,75.01322580645162,18.631612903225808,1.6390322580645162
NASA_POWER,4.65847,-74.08396,2021,8,71.11,82.40387096774194,73.33967741935484,19.18290322580645,1.2638709677419355
NASA_POWER,4.65847,-74.08396,2021,9,145.0,82.39133333333332,72.27333333333333,19.142999999999997,1.2813333333333332
NASA_POWER,4.65847,-74.08396,2021,10,96.44,82.31741935483872,76.90709677419355,19.622903225806454,0.8551612903225807
NASA_POWER,4.65847,-74.08396,2021,11,86.48,82.26966666666667,77.90433333333334,19.259666666666664,0.9016666666666667
NASA_POWER,4.65847,-74.08396,2021,12,65.48,82.23838709677419,76.7441935483871,19.739032258064515,1.0374193548387096
NASA_POWER,4.65847,-74.08396,2022,1,57.49,82.2816129032258,71.82548387096774,19.448709677419355,1.1783870967741936
NASA_POWER,4.65847,-74.08396,2022,2,131.69,82.24392857142857,75.20714285714287,19.290714285714284,0.8960714285714285
NASA_POWER,4.65847,-74.08396,2022,3,199.88,82.26870967741935,81.53903225806452,18.864838709677418,0.8858064516129033
NASA_POWER,4.65847,-74.08396,2022,4,260.12,82.28333333333333,81.47,18.88,0.995
NASA_POWER,4.65847,-74.08396,2022,5,319.0,82.38741935483871,80.96806451612903,18.71741935483871,0.9874193548387097
NASA_POWER,4.65847,-74.08396,2022,6,207.29,82.38000000000001,81.945,17.939666666666668,0.9073333333333333
NASA_POWER,4.65847,-74.08396,2022,7,228.31,82.38967741935484,79.52129032258064,18.19483870967742,1.1383870967741936
NASA_POWER,4.65847,-74.08396,2022,8,162.59,82.38322580645162,77.78548387096774,18.116774193548387,1.2158064516129032
NASA_POWER,4.65847,-74.08396,2022,9,135.09,82.364,78.09733333333334,18.666,1.0056666666666667
NASA_POWER,4.65847,-74.08396,2022,10,252.6,82.3358064516129,83.24870967741936,18.324193548387097,1.0612903225806452
