Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,2,2026,2478,ALL,ALL,MALE,70TO74
1,2,2026,1591,ALL,ALL,MALE,75TO79
1,2,2026,987,ALL,ALL,MALE,80TO84
1,2,2026,515,ALL,ALL,MALE,85TO89
1,2,2026,198,ALL,ALL,MALE,90TO94
1,2,2026,66,ALL,ALL,MALE,95TO99
1,2,2026,5327,ALL,ALL,FEMALE,0TO4
1,2,2026,3118,ALL,ALL,FEMALE,10TO14
1,2,2026,43,ALL,ALL,FEMALE,100UP
1,2,2026,3446,ALL,ALL,FEMALE,15TO19
1,2,2026,4702,ALL,ALL,FEMALE,20TO24
1,2,2026,6534,ALL,ALL,FEMALE,25TO29
1,2,2026,7353,ALL,ALL,FEMALE,30TO34
1,2,2026,6791,ALL,ALL,FEMALE,35TO39
1,2,2026,6091,ALL,ALL,FEMALE,40TO44
1,2,2026,5573,ALL,ALL,FEMALE,45TO49
1,2,2026,3673,ALL,ALL,FEMALE,5TO9
1,2,2026,4803,ALL,ALL,FEMALE,50TO54
1,2,2026,4661,ALL,ALL,FEMALE,55TO59
1,2,2026,4923,ALL,ALL,FEMALE,60TO64
1,2,2026,4327,ALL,ALL,FEMALE,65TO69
1,2,2026,3411,ALL,ALL,FEMALE,70TO74
1,2,2026,2465,ALL,ALL,FEMALE,75TO79
1,2,2026,1545,ALL,ALL,FEMALE,80TO84
1,2,2026,865,ALL,ALL,FEMALE,85TO89
1,2,2026,401,ALL,ALL,FEMALE,90TO94
1,2,2026,133,ALL,ALL,FEMALE,95TO99
1,7,2026,7019,ALL,ALL,MALE,0TO4
1,7,2026,6552,ALL,ALL,MALE,10TO14
1,7,2026,5,ALL,ALL,MALE,100UP
1,7,2026,7318,ALL,ALL,MALE,15TO19
1,7,2026,8889,ALL,ALL,MALE,20TO24
1,7,2026,12170,ALL,ALL,MALE,25TO29
1,7,2026,13125,ALL,ALL,MALE,30TO34
1,7,2026,11389,ALL,ALL,MALE,35TO39
1,7,2026,9889,ALL,ALL,MALE,40TO44
1,7,2026,8740,ALL,ALL,MALE,45TO49
1,7,2026,6334,ALL,ALL,MALE,5TO9
1,7,2026,7583,ALL,ALL,MALE,50TO54
1,7,2026,7850,ALL,ALL,MALE,55TO59
1,7,2026,7616,ALL,ALL,MALE,60TO64
1,7,2026,5757,ALL,ALL,MALE,65TO69
1,7,2026,4048,ALL,ALL,MALE,70TO74
1,7,2026,2454,ALL,ALL,MALE,75TO79
1,7,2026,1657,ALL,ALL,MALE,80TO84
1,7,2026,912,ALL,ALL,MALE,85TO89
1,7,2026,380,ALL,ALL,MALE,90TO94
1,7,2026,97,ALL,ALL,MALE,95TO99
1,7,2026,6653,ALL,ALL,FEMALE,0TO4
1,7,2026,6101,ALL,ALL,FEMALE,10TO14
1,7,2026,88,ALL,ALL,FEMALE,100UP
1,7,2026,6642,ALL,ALL,FEMALE,15TO19
1,7,2026,8208,ALL,ALL,FEMALE,20TO24
1,7,2026,10379,ALL,ALL,FEMALE,25TO29
1,7,2026,11427,ALL,ALL,FEMALE,30TO34
1,7,2026,10358,ALL,ALL,FEMALE,35TO39
1,7,2026,9338,ALL,ALL,FEMALE,40TO44
1,7,2026,8680,ALL,ALL,FEMALE,45TO49
1,7,2026,5884,ALL,ALL,FEMALE,5TO9
1,7,2026,8099,ALL,ALL,FEMALE,50TO54
1,7,2026,8664,ALL,ALL,FEMALE,55TO59
1,7,2026,8709,ALL,ALL,FEMALE,60TO64
1,7,2026,7155,ALL,ALL,FEMALE,65TO69
1,7,2026,5202,ALL,ALL,FEMALE,70TO74
1,7,2026,3773,ALL,ALL,FEMALE,75TO79
1,7,2026,2582,ALL,ALL,FEMALE,80TO84
1,7,2026,1590,ALL,ALL,FEMALE,85TO89
1,7,2026,766,ALL,ALL,FEMALE,90TO94
1,7,2026,289,ALL,ALL,FEMALE,95TO99
1,12,2026,27174,ALL,ALL,MALE,0TO4
1,12,2026,25320,ALL,ALL,MALE,10TO14
1,12,2026,27,ALL,ALL,MALE,100UP
1,12,2026,25242,ALL,ALL,MALE,15TO19
1,12,2026,27616,ALL,ALL,MALE,20TO24
1,12,2026,31211,ALL,ALL,MALE,25TO29
